Date,vix_ret_log,sp500_ret_log,petroleo_ret_log
2007-07-31,0.11953838119162932,-0.012727292908787834,0.017148207104760473
2007-08-01,0.006357284255959314,0.0072165668337128945,-0.022310696551668428
2007-08-02,-0.10926432592170214,0.00434981680259466,0.005426572253207528
2007-08-03,0.17031132494011383,-0.02694578841666203,-0.01342126480436644
2007-08-06,-0.09237329078568536,0.02386408016486739,-0.04907785668751707
2007-08-07,-0.06204241371181822,0.006140474654544519,0.008813162974489622
2007-08-08,-0.005115040327736394,0.013973752789070894,-0.011345526598465603
2007-08-09,0.21066503283936144,-0.030098066707580952,-0.011048253969987851
2007-08-10,0.06647206390854077,0.00037846572498061995,0.0025604609597272214
2007-08-13,-0.06307902940420576,-0.0004954108659971804,-0.002275580978974135
2007-08-14,0.04092739348861087,-0.018323395498988107,0.003978956057724948
2007-08-15,0.10257483883913043,-0.014005458249531031,0.015898994645014628
2007-08-16,0.005203258809657464,0.0032435209838830546,-0.026449498835947376
2007-08-17,-0.027624254294414,0.024269566522519798,0.009557248450517973
2007-08-20,-0.1301550145183664,-0.00026968281529931475,-0.008411254429488436
2007-08-21,-0.041882814889244016,0.0010854652755820737,-0.01674640008971758
2007-08-22,-0.09812604842144441,0.011644820880578098,0.00014549103861944134
2007-08-23,-0.011865599510562598,-0.001072891793787412,0.016744093308675826
2007-08-24,-0.08773512353734204,0.011469018050261516,0.01082018127718256
2007-08-27,0.09214617937885698,-0.008539951913098606,0.004661931200605477
2007-08-28,0.14632334654373708,-0.023752942896165807,-0.005653639037767184
2007-08-29,-0.0994632721058139,0.02168505098090459,0.022148286881871697
2007-08-30,0.05116729008796435,-0.004189774778312817,-0.0031937224881215106
2007-08-31,-0.06939200800819731,0.01115430329085347,0.01092757113385389
2007-09-04,-0.02599793198705937,0.01041380907704796,0.01677954547957442
2007-09-05,0.07605011287247793,-0.01156777363141079,0.005665713044810516
2007-09-06,-0.024296033723100702,0.004242872517797467,0.005767574507547583
2007-09-07,0.08926670911598462,-0.017053037079487448,0.0040043174046696895
2007-09-10,0.04290901278210365,-0.0012736238921536895,0.005446757455131721
2007-09-11,-0.08019484969396437,0.013540236395020916,0.01185308086310311
2007-09-12,-0.0123434326935637,4.761615210455319e-05,0.016876982073767526
2007-09-13,-0.008045049761033535,0.00838431615381002,-0.007235141995013874
2007-09-14,0.006441239920395975,0.00020217561760197238,-0.011738774455446577
2007-09-17,0.06071901680085249,-0.0051335689917121445,0.00992178000222942
2007-09-18,-0.26330878314761463,0.028789581640806357,0.007892814244177317
2007-09-19,-0.015849746675464512,0.006067959764234633,0.01127789598804165
2007-09-20,0.020751735837782278,-0.006745938475255174,0.007869996532575047
2007-09-21,-0.07354394062992235,0.004598464335745744,0.0026517688962462956
2007-09-24,0.019286541578916284,-0.005270307770366357,-0.00493015818287859
2007-09-25,-0.04056391951707634,-0.0003426885186387916,-0.016482847615889914
2007-09-26,-0.05355965242107779,0.005396714632315107,-0.002450854985794014
2007-09-27,-0.03638860475098656,0.0038994820691835783,0.0330272427859414
2007-09-28,0.05715841383994862,-0.003027999733853695,-0.010804133070681452
2007-10-01,-0.00892862219116849,0.013202159881824788,-0.01951466561569759
2007-10-02,0.035786897315354844,-0.0002650794533767373,-0.003354436661867946
2007-10-03,0.016626796233665718,-0.004562248537264931,0.0
2007-10-04,-0.01933458216365976,0.0021087267359828203,0.02033973518965934
2007-10-05,-0.08661709320339823,0.009514881229474793,-0.0008868017760663132
2007-10-08,0.03200734408879464,-0.00322169799390635,-0.02984527723173224
