n_estimators,min_samples_leaf,max_depth,max_features,min_balancedness_tol,subforest_size,ny,dy,ly,r_loss,r2_pred
2504,76,10,None,0.3367,8,100,2,0.03,0.00013162716134745633,0.1808658766098351
2800,79,6,0.5,0.32,2,200,2,0.03,0.00013155109563742296,0.18442668466133294
600,26,10,0.7,0.4416,4,400,2,0.03,0.00013186287966449254,0.18236610357506522
1600,37,6,0.7,0.4984,4,100,2,0.05,0.00013195322488625697,0.18157488784554487
3200,63,14,0.7,0.3046,8,200,2,0.05,0.00013164598229179505,0.1836778398764567
700,68,8,0.7,0.4028,2,400,2,0.05,0.000132028948664139,0.1819398191563244
2200,43,8,0.5,0.3341,2,100,2,0.1,0.00013161544632243988,0.18389006870931213
3000,13,10,sqrt,0.4617,2,200,2,0.1,0.000132167903318616,0.18327824579968044
1100,64,6,0.7,0.3482,2,400,2,0.1,0.00013186073739262784,0.18288798726915834
800,54,8,sqrt,0.3782,4,100,3,0.03,0.0001318293668781385,0.18127652509312042
2200,67,6,0.7,0.337,4,200,3,0.03,0.00013181278335682863,0.18219918258638446
3504,18,10,sqrt,0.379,8,400,3,0.03,0.00013171511178376903,0.18277463511868453
2800,57,10,None,0.4922,4,100,3,0.05,0.00013198347368439904,0.18092680732125221
3304,45,None,0.7,0.4214,8,200,3,0.05,0.00013185614259440714,0.18167072879822233
2800,13,14,None,0.3031,2,400,3,0.05,0.00013146447165557554,0.18197446278535867
2104,15,10,0.7,0.3011,8,100,3,0.1,0.00013154091338442054,0.1817540127121674
3200,45,8,None,0.4212,8,200,3,0.1,0.00013190015606869305,0.18177930227887695
2700,37,None,0.7,0.3899,4,400,3,0.1,0.00013228585220630961,0.1783511203653978
504,39,14,0.5,0.4183,8,100,5,0.03,0.0001321092219005686,0.17653905649882606
900,5,14,0.5,0.4426,4,200,5,0.03,0.00013229288035519648,0.17432845103058547
1704,46,8,None,0.4421,8,400,5,0.03,0.0001320116799203028,0.17833096321350272
3400,8,None,0.7,0.4127,2,100,5,0.05,0.00013193852792711658,0.17573902668907926
1704,40,14,0.5,0.4511,8,200,5,0.05,0.00013209387012789596,0.17769410792197537
1000,70,8,0.5,0.3322,4,400,5,0.05,0.0001317880710772916,0.18109680343626378
3700,66,8,0.7,0.4615,2,100,5,0.1,0.00013198994795439968,0.17967835421409195
1000,7,None,0.5,0.3854,8,200,5,0.1,0.00013220396986710157,0.1745487327099975
2800,55,None,sqrt,0.3444,8,400,5,0.1,0.0001318468728492243,0.18114437162330088
