n_estimators,min_samples_leaf,max_depth,max_features,min_balancedness_tol,subforest_size,ny,dy,ly,r_loss,r2_pred
2504,76,10,None,0.3367,8,100,2,0.03,0.00013196922178285533,0.18048280655732196
2800,79,6,0.5,0.32,2,200,2,0.03,0.00013178636609305182,0.1840965076584259
600,26,10,0.7,0.4416,4,400,2,0.03,0.0001322052343473474,0.18102891420035483
1600,37,6,0.7,0.4984,4,100,2,0.05,0.00013251607526899444,0.17854640019552526
3200,63,14,0.7,0.3046,8,200,2,0.05,0.0001315236994250738,0.18545837740546045
700,68,8,0.7,0.4028,2,400,2,0.05,0.00013160477916784047,0.18556396424307164
2200,43,8,0.5,0.3341,2,100,2,0.1,0.00013160771248652348,0.1847296660533987
3000,13,10,sqrt,0.4617,2,200,2,0.1,0.00013187031579802545,0.18498064835865125
1100,64,6,0.7,0.3482,2,400,2,0.1,0.00013120321357656562,0.18904940032197015
800,54,8,sqrt,0.3782,4,100,3,0.03,0.00013220137611839015,0.18038056611440967
2200,67,6,0.7,0.337,4,200,3,0.03,0.0001318297701782204,0.1829818860062209
3504,18,10,sqrt,0.379,8,400,3,0.03,0.00013163474755800597,0.1852552603038251
2800,57,10,None,0.4922,4,100,3,0.05,0.00013232700948608874,0.17924259875388204
3304,45,None,0.7,0.4214,8,200,3,0.05,0.00013182090275501825,0.18288088605776465
2800,13,14,None,0.3031,2,400,3,0.05,0.00013119817334576904,0.1870866948193911
2104,15,10,0.7,0.3011,8,100,3,0.1,0.00013110219968988254,0.1875347509711358
3200,45,8,None,0.4212,8,200,3,0.1,0.00013181106059741404,0.18326380294783062
2700,37,None,0.7,0.3899,4,400,3,0.1,0.00013146228258300628,0.18740046416841039
504,39,14,0.5,0.4183,8,100,5,0.03,0.00013228496622242115,0.17867960661457127
900,5,14,0.5,0.4426,4,200,5,0.03,0.00013230831036858043,0.17959145412719402
1704,46,8,None,0.4421,8,400,5,0.03,0.0001311951705712612,0.18904855121016895
3400,8,None,0.7,0.4127,2,100,5,0.05,0.00013239834041517762,0.1787489650653873
1704,40,14,0.5,0.4511,8,200,5,0.05,0.00013169176712299062,0.18505772850839652
1000,70,8,0.5,0.3322,4,400,5,0.05,0.00013148219480278153,0.18640866808951517
3700,66,8,0.7,0.4615,2,100,5,0.1,0.00013151707410720106,0.1857060707508129
1000,7,None,0.5,0.3854,8,200,5,0.1,0.00013069212919453746,0.1925240433368972
2800,55,None,sqrt,0.3444,8,400,5,0.1,0.0001308693574043475,0.1918873782364584
