seasonality,mae_train,rmse_train,r2_train,mae_test,rmse_test,r2_test,amp_seasonal_test
5,0.011399928971764086,0.01556527671839394,0.17486606530923865,0.010147379129112318,0.014876702156186748,0.24360105285637146,0.0003064209028583185
10,0.011504038188536658,0.015623878078671858,0.16864131322165432,0.010136767765874355,0.014835760524676929,0.24775864012336823,0.0006506334164278458
21,0.011360516242296824,0.01548114077406881,0.18376225067121543,0.01013758050552514,0.014725927445399335,0.2588554965629374,0.0009010788293345519
22,0.011334605646458305,0.015399018413523289,0.19239902777030227,0.010133685040881652,0.014772851352391316,0.2541246835592944,0.0009727240706059152
