,br_ibov_ret_log,br_selic_diff,br_dolar_diff,br_ipca,br_pib_ret_log,ipca_expectativa_diff,embi_brasil_diff
2001-12-11,-0.007315103157717218,0.0,-0.016199999999999992,0.6080645161290323,-0.00018353531061165995,0.0,0.0
2001-12-12,0.01597893609145018,0.0,0.0134000000000003,0.6038709677419355,-0.00018356900200622306,0.0,-19.0
2001-12-13,-0.0310758411786054,0.0,0.02959999999999985,0.5996774193548388,-0.0001836027057713352,0.0,8.0
2001-12-14,-0.014479128348694914,0.0,-0.000700000000000145,0.5954838709677419,-0.0001836364219141018,-0.010000000000000009,-4.0
2001-12-17,-0.0036334159256838916,0.0,-0.0259999999999998,0.5829032258064516,-0.0005511116864962418,0.0,18.0
2001-12-18,0.0368736897672548,0.0,-0.015000000000000124,0.5787096774193549,-0.00018377141041270306,0.0,-4.0
2001-12-19,-0.008018928569693884,0.0,-0.04999999999999982,0.5745161290322581,-0.0001838051885520997,0.0,13.0
2001-12-20,-0.02839018511487268,0.0,0.02719999999999967,0.5703225806451613,-0.00018383897911000702,-0.010000000000000009,17.0
2001-12-21,0.034316906390703394,0.0,0.010900000000000354,0.5661290322580645,-0.00018387278209353042,0.0,-12.0
2001-12-26,-0.0008231376975409432,0.0,-0.016600000000000392,0.5451612903225806,-0.0009198713906428679,0.010000000000000009,4.0
2001-12-27,0.029359636266574896,0.0,0.007000000000000117,0.5409677419354839,-0.00018407586133939446,-0.010000000000000009,-12.0
2001-12-28,-0.013024256690563618,0.0,-0.001100000000000101,0.5367741935483872,-0.00018410975150118247,0.010000000000000009,-25.0
2002-01-02,0.02142158415873041,0.0,-0.013799999999999812,0.5148387096774194,-0.0009945031658418202,0.0,-35.0
2002-01-03,0.027936564627276894,0.0,-0.013399999999999856,0.5096774193548387,-0.00025779144780280205,0.0,-19.0
2002-01-04,0.0046858147772450565,0.0,0.016899999999999693,0.5045161290322581,-0.00025785792137078545,0.0,1.0
2002-01-07,0.0032740094028955724,0.0,0.03270000000000017,0.4890322580645161,-0.0007739729485507496,0.0,14.0
2002-01-08,-0.014782908365070568,0.0,0.0026000000000001577,0.4838709677419355,-0.0002581241588064387,0.0,6.0
2002-01-09,-0.010429694741539208,0.0,0.03399999999999981,0.47870967741935483,-0.0002581908040930614,0.0,15.0
2002-01-10,-0.0326947318922155,0.0,0.010200000000000209,0.4735483870967742,-0.00025825748380015057,0.0,16.0
2002-01-11,0.0012519793954091085,0.0,0.02719999999999967,0.46838709677419355,-0.0002583241979579043,0.0,17.0
2002-01-14,-0.034823242319500736,0.0,-0.009599999999999831,0.4529032258064516,-0.0007753732237212319,0.0,-5.0
2002-01-15,-0.008495057401347594,0.0,-0.03670000000000018,0.447741935483871,-0.00025859139962136624,0.0,-6.0
2002-01-16,0.005594956154798325,0.0,0.016199999999999992,0.4425806451612903,-0.00025865828643212296,0.0,4.0
2002-01-17,0.019152017964120915,0.0,-0.02259999999999973,0.4374193548387097,-0.00025872520785164,0.0,-14.0
2002-01-18,0.0026956212504014587,0.0,0.011099999999999888,0.432258064516129,-0.0002587921639065627,0.010000000000000009,-14.0
2002-01-21,-0.016435834398404126,0.0,-0.0009999999999998899,0.4167741935483871,-0.0007767785748420408,0.0,3.0
2002-01-22,-0.011544912050597489,0.0,-0.007500000000000284,0.41161290322580646,-0.00025906033504874415,0.0,-14.0
2002-01-23,0.017381135839677597,0.0,0.013700000000000045,0.4064516129032258,-0.0002591274646963626,0.0,-11.0
2002-01-24,-0.005304248247409049,0.0,0.01770000000000005,0.4012903225806452,-0.00025919462914281155,0.0,10.0
2002-01-28,-0.01223069825164913,0.0,0.024700000000000166,0.38064516129032255,-0.0010374508579840125,0.010000000000000009,6.0
2002-01-29,-0.03929455067385135,0.0,0.0005999999999999339,0.37548387096774194,-0.00025953097431852257,0.009999999999999953,23.0
2002-01-30,0.002476731981518654,0.0,0.015000000000000124,0.37032258064516127,-0.00025959834813171767,0.0,2.0
2002-01-31,0.01496879808412821,0.0,-0.02010000000000023,0.3651612903225806,-0.00025966575693381344,0.0,107.0
2002-02-01,-0.004885746519381229,0.0,-0.0021999999999997577,0.36,-0.00025973320075145523,-0.06999999999999995,-84.0
2002-02-04,-0.011600320771773198,0.0,0.006699999999999928,0.3857142857142857,0.006674375604520222,-0.010000000000000009,9.0
2002-02-05,0.018606292672171065,0.0,-0.0013999999999998458,0.3942857142857143,0.002214929043061531,0.0,-14.0
2002-02-06,0.00023530334631516325,0.0,-0.000800000000000356,0.40285714285714286,0.002210033972630754,0.0,-7.0
2002-02-07,-0.00526834322530334,0.0,0.031200000000000117,0.4114285714285714,0.0022051604910533484,0.0,15.0
2002-02-08,-0.006803285476363996,0.0,0.017300000000000093,0.42,0.002200308455815758,-0.010000000000000009,1.0
2002-02-13,0.02840677724149998,0.0,-0.04590000000000005,0.46285714285714286,0.010929502553606696,0.0,-57.0
2002-02-14,0.021675274282795698,0.0,0.0017000000000000348,0.4714285714285714,0.0021716387932020353,0.0,8.0
2002-02-15,0.0041439125036752955,0.0,0.013100000000000112,0.48,0.002166932995601556,0.0,7.0
2002-02-18,-0.013473824305021864,0.0,-0.009600000000000275,0.5057142857142857,0.0064727670458673,0.0,-1.0
