,br_ibov_ret_log,br_selic_diff,br_dolar_diff,br_ipca,br_pib_ret_log,ipca_expectativa_diff,embi_brasil_diff
2017-02-10,0.0176982268437626,0.0,-0.0030000000000001,0.3042857142857142,0.003419741973591,0.0,-8.0
2017-02-13,0.0126680031792929,0.0,0.0020000000000002,0.2957142857142857,0.0101896130617689,0.0,-4.0
2017-02-14,-0.0038150568784871,0.0,-0.0171000000000001,0.2928571428571428,0.0033735946365034,0.0,-2.0
2017-02-15,0.0187548652219717,0.0,-0.0224999999999999,0.29,0.0033622517513087,0.0,5.0
2017-02-16,-0.0023860383954339,0.0,-0.0268999999999999,0.2871428571428571,0.0033509848859267,0.0,9.0
2017-02-17,-0.0009737242769318,0.0,0.044,0.2842857142857143,0.0033397932786911,0.0,2.0
2017-02-20,0.011520442058968,0.0,-0.0032,0.2757142857142857,0.0099529715607804,0.0,0.0
2017-02-21,0.0075444628664591,0.0,0.0051999999999998,0.2728571428571428,0.0032957645491471,0.0,-3.0
2017-02-22,-0.0067130924430713,0.0,-0.0146000000000001,0.27,0.003284938156657,0.0,-2.0
2017-02-23,-0.0165970983884253,-0.002646,-0.0185999999999997,0.2671428571428571,0.0032741826594673,0.0,-5.0
2017-02-24,-0.0119145776929929,0.0,0.0354999999999998,0.2642857142857143,0.0032634973634753,0.0,5.0
2017-03-01,0.0048933513778113,0.0,-0.0017,0.25,0.0161596169580953,-0.13,-2.0
2017-03-02,-0.0170730713566129,0.0,0.0161999999999999,0.2464516129032258,-0.0013364600101848,0.0,5.0
2017-03-03,0.0140381222881327,0.0,0.0226000000000001,0.2429032258064516,-0.0013382485260926,0.0,-7.0
2017-03-06,-0.0066853704719225,0.0,-0.0253000000000001,0.232258064516129,-0.0040255247040263,0.0,-1.0
2017-03-07,-0.0090701166159092,0.0,0.0074,0.2287096774193548,-0.0013454507169274,0.0,2.0
2017-03-08,-0.0156986207271412,0.0,0.0291999999999998,0.2251612903225806,-0.0013472633937006,0.0,13.0
